codigo,descricao,periodo,valor,arquivo
2,Reservas de lucros,2021-06-30,296010145.09,anexo-pilar3-circular-3930-q2-2021.xlsx
3,Outras receitas e outras reservas,2021-06-30,7332027.550000001,anexo-pilar3-circular-3930-q2-2021.xlsx
5,Participação de não controladores nos instrumentos emitidos por subsidiárias do conglomerado prudencial e elegíveis ao seu Capital Principal,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
6,Capital Principal antes dos ajustes prudenciais,2021-06-30,3108267173.14,anexo-pilar3-circular-3930-q2-2021.xlsx
7,"Ajustes prudenciais relativos a apreçamentos de
instrumentos financeiros (PVA)",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
8,Ágios pagos na aquisição de investimentos com fundamento em expectativa de rentabilidade futura,2021-06-30,1450985114.71,anexo-pilar3-circular-3930-q2-2021.xlsx
9,Ativos intangíveis,2021-06-30,8588874.67,anexo-pilar3-circular-3930-q2-2021.xlsx
10,Créditos tributários decorrentes de prejuízos fiscais e de base negativa de Contribuição Social sobre o Lucro Líquido e os originados dessa contribuição relativos a períodos de apuração encerrados até 31 de dezembro de 1998,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
11,Ajustes relativos ao valor de mercado dos instrumentos financeiros derivativos utilizados para hedge de fluxo de caixa de itens protegidos cujos ajustes de marcação a mercado não são registrados contabilmente,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
15,Ativos atuariais relacionados a fundos de pensão de benefício definido,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
16,"Ações ou outros instrumentos de emissão própria autorizados a compor o Capital Principal da instituição ou conglomerado, adquiridos diretamente, indiretamente ou de forma sintética",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
17,Valor total das deduções relativas às aquisições recíprocas de Capital Principal ,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
18,"Valor total das deduções relativas às participações líquidas não significativas em Capital Principal de instituições autorizadas a funcionar pelo Banco Central do Brasil e de instituições financeiras no exterior não consolidadas e em capital social de empresas assemelhadas a instituições financeiras não consolidadas, sociedades seguradoras, resseguradoras, de capitalização e entidades abertas de previdência complementar",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
19,"Valor total das deduções relativas às participações líquidas significativas em Capital Principal de instituições autorizadas a funcionar pelo Banco Central do Brasil e de instituições financeiras no exterior não consolidadas e em capital social de empresas assemelhadas a instituições financeiras não consolidadas, sociedades seguradoras, resseguradoras, de capitalização e entidades abertas de previdência complementar, que exceda 10% do valor do Capital Principal da própria instituição ou conglomerado, desconsiderando deduções específicas",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
21,"Valor total das deduções relativas aos créditos tributários decorrentes de diferenças temporárias que dependam de geração de lucros ou receitas tributáveis futuras para sua realização, que exceda 10% do Capital Principal da própria instituição ou conglomerado, desconsiderando deduções específicas",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
22,"Valor que excede, de forma agregada, 15% do Capital Principal da própria instituição ou conglomerado ",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
23,"   do qual: oriundo de participações líquidas significativas em Capital Principal de instituições autorizadas a funcionar pelo Banco Central do Brasil e de instituições financeiras no exterior não consolidadas e em capital social de empresas assemelhadas a instituições financeiras não consolidadas, de sociedades seguradoras, resseguradoras, de capitalização e de entidades abertas de previdência complementar",2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
25,   do qual: oriundo de créditos tributários decorrentes de diferenças temporárias que dependam de geração de lucros ou receitas tributáveis futuras para sua realização,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
26,Ajustes regulatórios nacionais,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
27,Dedução aplicada ao Capital Principal decorrente de insuficiência de Capital Complementar e de Nível II para cobrir as respectivas deduções nesses componentes,2021-06-30,0.0,anexo-pilar3-circular-3930-q2-2021.xlsx
28,Total de deduções regulatórias ao Capital Principal,2021-06-30,1459573989.38,anexo-pilar3-circular-3930-q2-2021.xlsx
29,Capital Principal,2021-06-30,1648693183.7599998,anexo-pilar3-circular-3930-q2-2021.xlsx
